ERC Method,ERC Lookback,MR_FX Regime,Daily Cutoff,Exposure Factor,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Rank Score
rolling_erc_504,504.0,off,-0.045,1.0,0.802,0.886284289276808,0.9392234102419809,0.6676,86.0,38.5,15.0,0.2388,0.0936,0.0,0.3892,0.8376048578553617
rolling_erc_756,756.0,off,-0.045,1.0,0.8012,0.8816774837743385,0.9388448471121178,0.6632,85.0,38.0,15.0,0.2372,0.0996,0.0,0.3894,0.8301614967548678
rolling_erc_252,252.0,off,-0.045,1.25,0.768,0.86015625,0.9125037844383893,0.6028,62.5,28.0,15.0,0.2434,0.1538,0.0,0.5622,0.72232925
rolling_erc_252,252.0,on,-0.045,1.25,0.7646,0.8629348679047868,0.913003940588057,0.6024,62.0,28.0,15.0,0.2666,0.131,0.0,0.5396,0.7168509735809573
rolling_erc_504,504.0,on,-0.045,1.25,0.755,0.8596026490066225,0.911864406779661,0.5918,61.0,28.0,15.0,0.2998,0.1084,0.0,0.5382,0.6907785298013245
rolling_erc_504,504.0,off,-0.045,1.25,0.7556,0.8565378507146638,0.9097651421508035,0.5888,61.0,28.0,15.0,0.2778,0.1334,0.0,0.5752,0.6898755701429328
fixed_current_weights,,on,-0.045,1.25,0.7356,0.8512778684067428,0.9045033535611625,0.5664,60.0,27.0,15.0,0.2954,0.1382,0.0,0.673,0.6447255736813485
fixed_current_weights,,off,-0.045,1.25,0.7314,0.8457752255947498,0.9033301002263175,0.5588,60.0,27.0,15.0,0.2848,0.1564,0.0,0.7156,0.6326590451189498
rolling_erc_756,756.0,on,-0.045,1.25,0.7204,0.8309272626318712,0.8984296692281991,0.5378,58.5,27.0,15.0,0.35,0.1122,0.0,0.571,0.5832954525263742
rolling_erc_756,756.0,off,-0.045,1.25,0.7192,0.8289766407119021,0.8956725930895673,0.534,59.0,26.0,15.0,0.3324,0.1336,0.0,0.6192,0.5798833281423804
