Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score
anchor_grid_tf2_mreq1p125_mrfx6p875,full,"{""MR_EQ"": 1.125, ""MR_FX"": 6.875, ""TF_EQ"": 2.0}",2.0,1.125,6.875,10.0,0.75,-0.04,1876222.7407374054,0.29557340533212684,1.2673631951663094,1.3212711270193067,-22.370382526932175,-0.11460128724232185,26,184.6288864473696,953.6193565096539,0.8772,0.9117647058823529,0.953988497124281,0.763,87.0,38.0,15.0,0.0548,0.1822,0.0,0.5744,193.2770642201835,168.0,115.5,243.0,338.5999999999999,0.7452633394495412
moderate_more_tf_2p00_1p00_7p00,full,"{""MR_EQ"": 1.0, ""MR_FX"": 7.0, ""TF_EQ"": 2.0}",2.0,1.0,7.0,10.0,0.75,-0.04,1772541.2471779096,0.2903229453813094,1.2625049251449916,1.2994121757647004,-22.342636985870566,-0.11482397890623892,26,184.06674283437266,957.9532213154049,0.8774,0.9106450877592888,0.9566958698372966,0.7644,88.0,39.0,15.0,0.0566,0.179,0.0,0.5354,196.1661433804291,171.0,117.0,248.0,343.9000000000001,0.7408306415489271
anchor_grid_tf2p25_mreq1p5_mrfx6p25,full,"{""MR_EQ"": 1.5, ""MR_FX"": 6.25, ""TF_EQ"": 2.25}",2.25,1.5,6.25,10.0,0.75,-0.04,2576053.955742523,0.32524629137091754,1.2340936661348232,1.3658981307696867,-23.811899587829476,-0.12440640502097339,38,196.8495419080312,937.9751008574785,0.8592,0.8952513966480447,0.9495579823192928,0.7304,75.0,33.0,15.0,0.0312,0.2384,0.0,0.8478,170.1286966046002,147.0,103.0,216.0,296.0,0.7262002584884997
anchor_grid_tf2_mreq1p75_mrfx6p25,full,"{""MR_EQ"": 1.75, ""MR_FX"": 6.25, ""TF_EQ"": 2.0}",2.0,1.75,6.25,10.0,0.75,-0.04,2479696.5269284667,0.32164214877826924,1.269111619309093,1.379482636529864,-23.316143332356187,-0.11348874703141375,34,187.4856972267551,931.9596468053778,0.86,0.9046511627906977,0.9555269922879177,0.7434,80.0,36.0,15.0,0.0518,0.2048,0.0,0.648,178.2959375840732,154.0,108.0,224.0,306.0,0.7261801560398169
anchor_grid_tf1p5_mreq1p25_mrfx7p25,full,"{""MR_EQ"": 1.25, ""MR_FX"": 7.25, ""TF_EQ"": 1.5}",1.5,1.25,7.25,10.0,0.75,-0.04,1447557.7552022927,0.2717885673059355,1.3618111567769908,1.382520464318924,-19.658918209201893,-0.09215777013927784,12,163.82363904800985,953.3819012722716,0.8964,0.9239178937974118,0.958705626660227,0.794,107.0,46.0,15.0,0.0868,0.1192,0.0,0.3856,226.94130982367759,199.0,138.0,285.0,393.0,0.7239907254408063
anchor_grid_tf2_mreq2_mrfx6,full,"{""MR_EQ"": 2.0, ""MR_FX"": 6.0, ""TF_EQ"": 2.0}",2.0,2.0,6.0,10.0,0.75,-0.04,2765420.4442290794,0.33197862827226454,1.2615391009822177,1.3423269155749054,-24.73157800982344,-0.11304415923709961,39,188.65083668170737,923.300243211022,0.8534,0.8996953363018514,0.9564990883042459,0.7344,77.0,35.0,15.0,0.0494,0.2162,0.0,0.6642,171.53758169934642,149.0,105.0,216.0,296.9000000000001,0.7183140457516342
anchor_grid_tf2p25_mreq1_mrfx6p75,full,"{""MR_EQ"": 1.0, ""MR_FX"": 6.75, ""TF_EQ"": 2.25}",2.25,1.0,6.75,10.0,0.75,-0.04,2057622.7196516644,0.30414313063587617,1.219448167165839,1.2837998356028935,-23.690852904109118,-0.12530651678139834,31,194.58165523082133,955.3393592244186,0.8652,0.8999075358298659,0.9440020549704597,0.735,80.0,34.0,15.0,0.0474,0.2176,0.0,0.8514,181.19455782312926,156.0,107.0,230.5,316.5999999999999,0.6960996054421767
anchor_grid_tf2p25_mreq0p875_mrfx6p875,full,"{""MR_EQ"": 0.875, ""MR_FX"": 6.875, ""TF_EQ"": 2.25}",2.25,0.875,6.875,10.0,0.75,-0.04,1943482.0896736374,0.29883718368788936,1.2123326074867935,1.2627159660585983,-23.666223578424393,-0.12553169907041503,31,194.0222492139035,959.6820430708368,0.8654,0.8990062398890687,0.9442159383033419,0.7346,81.0,35.0,15.0,0.048,0.2174,0.0,0.8678,184.37380887557853,160.0,109.0,234.0,322.0,0.6861874778110538
anchor_grid_tf1p5_mreq1p5_mrfx7,full,"{""MR_EQ"": 1.5, ""MR_FX"": 7.0, ""TF_EQ"": 1.5}",1.5,1.5,7.0,10.0,0.75,-0.04,1619836.6091602894,0.2820456637535871,1.3548632649299022,1.3879569725080703,-20.32092271880187,-0.09172388513571632,13,164.96225635667173,944.7521240101543,0.8846,0.9111462808048836,0.9535980148883375,0.7686,102.0,44.0,15.0,0.0898,0.1416,0.0,0.5654,214.45147020556857,189.0,132.0,271.0,371.0,0.6742173244860785
anchor_grid_tf2p25_mreq2_mrfx5p75,full,"{""MR_EQ"": 2.0, ""MR_FX"": 5.75, ""TF_EQ"": 2.25}",2.25,2.0,5.75,10.0,0.75,-0.04,3206774.166991728,0.3461426296825876,1.230495785287821,1.3576210547017313,-25.496262634099686,-0.12350728068603456,50,199.1681359377726,920.6211890267671,0.8436,0.8866761498340445,0.9441176470588235,0.7062,70.0,32.0,15.0,0.046,0.2478,0.0,0.9012,159.1197960917587,139.0,98.0,201.5,273.0,0.6657885097706032
